,int,int_label,has_participant,participant_label,has_dissociation_constant,dissociation_constant_value,dissociation_constant_error,is_confirmed_by,is_outcome_of
2127,http://rdf.freebase.com/ns/m.0glg__v,12692304-Ang2-Interaction-1,http://rdf.freebase.com/ns/m.0glh05p,12692304-Ang2-1,http://rdf.freebase.com/ns/m.0glh069,3.1e-09,,http://rdf.freebase.com/ns/m.0glh061,http://rdf.freebase.com/ns/m.0glg_yl
2128,http://rdf.freebase.com/ns/m.0glgzxw,12954786-TTF1-Interaction-3,http://rdf.freebase.com/ns/m.0glg_k6,12954786-TTF1-3,http://rdf.freebase.com/ns/m.0glg_8y,3.25e-08,,http://rdf.freebase.com/ns/m.0glg_76,http://rdf.freebase.com/ns/m.0glgzr6
2129,http://rdf.freebase.com/ns/m.0glgzy2,12954786-TTF1-Interaction-1,http://rdf.freebase.com/ns/m.0glg_4y,12954786-TTF1-1,http://rdf.freebase.com/ns/m.0glg_7y,3.36e-09,,http://rdf.freebase.com/ns/m.0glg_76,http://rdf.freebase.com/ns/m.0glgzr6
2130,http://rdf.freebase.com/ns/m.0glj89w,9310370-NS3-Interaction-1,http://rdf.freebase.com/ns/m.0gkbv6y,NS3 protein of hepatitis C virus,http://rdf.freebase.com/ns/m.0glj8d1,6.5e-07,,http://rdf.freebase.com/ns/m.0glj8ct,http://rdf.freebase.com/ns/m.0glj892
2131,http://rdf.freebase.com/ns/m.0glj89w,9310370-NS3-Interaction-1,http://rdf.freebase.com/ns/m.0glj8ck,9310370-NS3-1,http://rdf.freebase.com/ns/m.0glj8d1,6.5e-07,,http://rdf.freebase.com/ns/m.0glj8ct,http://rdf.freebase.com/ns/m.0glj892
2132,http://rdf.freebase.com/ns/m.0gm76l2,10805157-L-selectin-Interaction-5,http://rdf.freebase.com/ns/m.0gm92q5,10805157-L-selectin-5,http://rdf.freebase.com/ns/m.0gm92qf,1.9e-10,,http://rdf.freebase.com/ns/m.0gm76tc,http://rdf.freebase.com/ns/m.0gm76j5
2133,http://rdf.freebase.com/ns/m.0gm9cq5,15889141-hnRNP L-Interaction-5,http://rdf.freebase.com/ns/m.0gm9df7,15889141-hnRNP L-5,http://rdf.freebase.com/ns/m.0gm9d8c,3.19e-08,,http://rdf.freebase.com/ns/m.0gm9d0v,http://rdf.freebase.com/ns/m.0gm9cl9
2134,http://rdf.freebase.com/ns/m.0gm9mrd,10606271-TAR-Interaction-4,http://rdf.freebase.com/ns/m.0gm9nch,trans activation responsive RNA,http://rdf.freebase.com/ns/m.0gm9n4q,3.4e-07,,http://rdf.freebase.com/ns/m.0gm9mxr,http://rdf.freebase.com/ns/m.0gm9mpz
2135,http://rdf.freebase.com/ns/m.0gm9mrd,10606271-TAR-Interaction-4,http://rdf.freebase.com/ns/m.0gm9ng_,10606271-TAR-4,http://rdf.freebase.com/ns/m.0gm9n4q,3.4e-07,,http://rdf.freebase.com/ns/m.0gm9mxr,http://rdf.freebase.com/ns/m.0gm9mpz
2136,http://rdf.freebase.com/ns/m.0gm9mrv,10606271-TAR-Interaction-1,http://rdf.freebase.com/ns/m.0gm9mw7,10606271-TAR-1,http://rdf.freebase.com/ns/m.0gm9n4h,1.8e-08,,http://rdf.freebase.com/ns/m.0gm9mxr,http://rdf.freebase.com/ns/m.0gm9mpz
